id,feature_A,feature_B,target
0,1.1655,2.0185,0
1,8.6166,4.0375,1
2,1.0757,3.7574,0
3,0.3561,2.1985,0
4,6.2452,0.3052,0
5,3.3533,1.1477,0
6,5.0738,2.0893,0
7,5.8299,0.0857,0
8,0.5420,4.8197,0
9,3.1035,3.3169,0
10,3.8818,1.2766,0
11,7.4659,4.9109,1
12,8.9976,1.9798,1
13,7.6029,1.9477,1
14,9.2578,1.0712,1
15,0.8578,0.0544,0
16,4.4831,2.0996,0
17,9.1252,4.6857,1
18,6.6163,3.5595,1
19,4.3140,1.3953,0
20,9.1893,0.2961,1
21,6.8561,2.3007,1
22,0.6907,0.4098,0
23,5.4784,3.9406,1
24,9.5355,4.3019,1
25,9.3896,0.8555,1
26,9.7454,3.9475,1
27,6.5572,4.6466,1
28,8.3641,4.5847,1
29,8.5541,2.5690,1
30,1.0302,1.8010,0
31,2.1347,4.4707,0
32,2.1687,1.7102,0
33,4.3510,2.9285,0
34,4.9045,1.0498,0
35,6.7753,1.2156,1
36,2.8095,1.3267,0
37,6.6962,0.8363,1
38,2.4501,1.2415,0
39,2.3899,2.3660,0
40,0.5317,4.1822,0
41,5.7257,3.0170,1
42,0.9012,4.1100,0
43,8.5156,4.5686,1
44,9.7938,2.5140,1
45,3.2217,0.7623,0
46,6.8048,2.8149,1
47,7.2527,4.0767,1
48,5.7446,0.3184,0
49,4.9951,1.9805,0
50,0.5981,1.3286,0
51,3.1676,0.0835,0
52,8.6533,1.7365,1
53,2.0534,3.1503,0
54,5.1786,1.5603,0
55,4.2127,3.8286,1
56,4.6041,4.9442,1
57,3.2683,3.3795,0
58,6.5593,4.0074,1
59,9.3932,1.4644,1
60,4.5187,0.0280,0
61,2.0231,3.2885,0
62,2.4445,1.8386,0
63,1.6583,1.6959,0
64,8.1974,1.9651,1
65,9.6970,1.4201,1
66,0.6591,1.6971,0
67,8.3762,4.7610,1
68,8.0330,4.0350,1
69,4.2657,2.8580,0
70,4.3419,1.9251,0
